event_title;venue_title;address;zip_code;city;state;phone_number;date;time;lowest_price;highest_price;source_url
Kylie Morgan;Climate Pledge Arena;334 1st Ave N;98109;Seattle;WA;;2023-11-01;19:30;;;https://www.bandsintown.com/e/104388666-kylie-morgan-at-climate-pledge-arena?came_from=257&utm_medium=web&utm_source=home&utm_campaign=ticket_rsvp
Modern Color;Neumos;925 E Pike St;98122;Seattle;WA;;2023-11-01;19:00;;;https://www.bandsintown.com/e/104616116-modern-color-at-neumos?came_from=257&utm_medium=web&utm_source=home&utm_campaign=ticket_rsvp
Screaming Trees;Here-After;Alley Entrance;98121;Seattle;WA;;2023-11-01;18:00;;;https://www.bandsintown.com/e/104865292-screaming-trees-at-here-after?came_from=257&utm_medium=web&utm_source=home&utm_campaign=ticket_rsvp
Henry Rollins;Federal Way Performing Arts and Event Center;31510 Pete von Reichbauer Way S;98003;Federal Way;WA;1-253-835-7010;2023-11-01;20:00;;;https://www.bandsintown.com/e/1029529795-henry-rollins-at-federal-way-performing-arts-and-event-center?came_from=257&utm_medium=web&utm_source=home&utm_campaign=ticket_rsvp
The Black Jacket Symphony;Federal Way Performing Arts and Event Center;31510 Pete von Reichbauer Way S;98003;Federal Way;WA;1-253-835-7010;2023-10-31;20:00;;;https://www.bandsintown.com/e/1027641747-the-black-jacket-symphony-at-federal-way-performing-arts-and-event-center?came_from=257&utm_medium=web&utm_source=home&utm_campaign=ticket_rsvp
Mad Season;Here-After;Alley Entrance;98121;Seattle;WA;;2023-11-01;18:00;;;https://www.bandsintown.com/e/104864170-mad-season-at-here-after?came_from=257&utm_medium=web&utm_source=home&utm_campaign=ticket_rsvp
Rocky Votolato;The Crocodile;2505 1st Ave;98121;Seattle;WA;1-206-441-4618;2023-11-01;18:00;;;https://www.bandsintown.com/e/104789819-rocky-votolato-at-the-crocodile?came_from=257&utm_medium=web&utm_source=home&utm_campaign=ticket_rsvp
A Flock of Seagulls;APEX Art and Culture Center;1611 Everett Ave;98201;Everett;WA;+1 425-374-8307;2023-10-31;19:00;;;https://www.bandsintown.com/e/1029856826-a-flock-of-seagulls-at-apex-art-and-culture-center?came_from=257&utm_medium=web&utm_source=home&utm_campaign=ticket_rsvp
Screaming Trees;HereAfter;;;Seattle;WA;;2023-10-31;19:00;;;https://www.bandsintown.com/e/104860205-screaming-trees-at-hereafter?came_from=257&utm_medium=web&utm_source=home&utm_campaign=ticket_rsvp
Neil Frances;Neptune Theatre;1303 NE 45th St;98105;Seattle;WA;1-206-682-1414;2023-11-01;19:00;;;https://www.bandsintown.com/e/104500681-neil-frances-at-neptune-theatre?came_from=257&utm_medium=web&utm_source=home&utm_campaign=ticket_rsvp
Deer Tick;The Crocodile;2505 1st Ave;98121;Seattle;WA;1-206-441-4618;2023-10-31;19:00;;;https://www.bandsintown.com/e/104368951-deer-tick-at-the-crocodile?came_from=257&utm_medium=web&utm_source=home&utm_campaign=ticket_rsvp
Mad Season;HereAfter;;;Seattle;WA;;2023-10-31;19:00;;;https://www.bandsintown.com/e/104860181-mad-season-at-hereafter?came_from=257&utm_medium=web&utm_source=home&utm_campaign=ticket_rsvp
Des Rocs;Funhouse;109 Eastlake Ave E;98109;Seattle;WA;1-206-262-0482;2023-11-01;20:00;;;https://www.bandsintown.com/e/1029660581-des-rocs-at-funhouse?came_from=257&utm_medium=web&utm_source=home&utm_campaign=ticket_rsvp
Jacquees;Neptune Theatre;1303 NE 45th St;98105;Seattle;WA;1-206-682-1414;2023-10-31;20:00;;;https://www.bandsintown.com/e/1029534579-jacquees-at-neptune-theatre?came_from=257&utm_medium=web&utm_source=home&utm_campaign=ticket_rsvp
Frankie and the Witch Fingers;Tractor Tavern;5213 Ballard Ave NW;98107;Seattle;WA;1-206-789-3599;2023-11-01;20:30;;;https://www.bandsintown.com/e/1028884469-frankie-and-the-witch-fingers-at-tractor-tavern?came_from=257&utm_medium=web&utm_source=home&utm_campaign=ticket_rsvp
Old Dominion;Climate Pledge Arena;334 1st Ave N;98109;Seattle;WA;;2023-11-01;19:30;;;https://www.bandsintown.com/e/104387505-old-dominion-at-climate-pledge-arena?came_from=257&utm_medium=web&utm_source=home&utm_campaign=ticket_rsvp
Kellie Rose;W Bellevue;10455 NE 5th Pl;98004;Bellevue;WA;;2023-11-01;18:00;;;https://www.bandsintown.com/e/104735189-kellie-rose-at-w-bellevue?came_from=257&utm_medium=web&utm_source=home&utm_campaign=ticket_rsvp
Katie Cash Music;The Crocodile;2505 1st Ave;98121;Seattle;WA;1-206-441-4618;2023-11-01;19:00;;;https://www.bandsintown.com/e/104627624-katie-cash-music-at-the-crocodile?came_from=257&utm_medium=web&utm_source=home&utm_campaign=ticket_rsvp
PINK NAVEL;High Dive;513 N 36th St;98103;Seattle;WA;1-206-632-0212;2023-10-31;20:00;;;https://www.bandsintown.com/e/1029592107-pink-navel-at-high-dive?came_from=257&utm_medium=web&utm_source=home&utm_campaign=ticket_rsvp
Hard Maybe;Nectar Lounge;412 N 36th St;98103;Seattle;WA;+12066322020;2023-10-31;19:00;;;https://www.bandsintown.com/e/1029559832-hard-maybe-at-nectar-lounge?came_from=257&utm_medium=web&utm_source=home&utm_campaign=ticket_rsvp
Matt Andersen;Triple Door;216 Union St;98101;Seattle;WA;1-206-838-4333;2023-11-01;19:00;;;https://www.bandsintown.com/e/104519873-matt-andersen-at-triple-door?came_from=257&utm_medium=web&utm_source=home&utm_campaign=ticket_rsvp
Barrett Martin;Cloudbreak Festival;;;Seattle;WA;;2023-11-01;19:00;;;https://www.bandsintown.com/e/104784035-barrett-martin-at-cloudbreak-festival?came_from=257&utm_medium=web&utm_source=home&utm_campaign=ticket_rsvp
Marvel Years;High Dive;513 N 36th St;98103;Seattle;WA;1-206-632-0212;2023-11-01;19:00;;;https://www.bandsintown.com/e/104752226-marvel-years-at-high-dive?came_from=257&utm_medium=web&utm_source=home&utm_campaign=ticket_rsvp
Starbenders;Funhouse;109 Eastlake Ave E;98109;Seattle;WA;1-206-262-0482;2023-11-01;20:00;;;https://www.bandsintown.com/e/1029935179-starbenders-at-funhouse?came_from=257&utm_medium=web&utm_source=home&utm_campaign=ticket_rsvp
Midnight Danger;Central Saloon;207 1st Ave S;98104;Seattle;WA;1-206-622-0209;2023-10-31;19:00;;;https://www.bandsintown.com/e/104698106-midnight-danger-at-central-saloon?came_from=257&utm_medium=web&utm_source=home&utm_campaign=ticket_rsvp
Pigeon John;High Dive;513 N 36th St;98103;Seattle;WA;1-206-632-0212;2023-10-31;20:00;;;https://www.bandsintown.com/e/1029422691-pigeon-john-at-high-dive?came_from=257&utm_medium=web&utm_source=home&utm_campaign=ticket_rsvp
Barrett Martin;HereAfter;;;Seattle;WA;;2023-10-31;19:00;;;https://www.bandsintown.com/e/104782745-barrett-martin-at-hereafter?came_from=257&utm_medium=web&utm_source=home&utm_campaign=ticket_rsvp
