event_title;venue_title;address;zip_code;city;state;phone_number;date;time;lowest_price;highest_price;source_url
Tacoma All Star Band (Costume Party!);Spanish Ballroom;565 Broadway;98402;Tacoma;WA;;2023-10-31;19:00;10.0;15.0;https://do206.com/events/2023/10/31/kristen-marlo-band-costume-party-tickets
Rock n' Roll Bingo! in Screwdriver Bar;Screwdriver Bar;2320 1st Ave;;Seattle;WA;;2023-10-31;18:30;;;https://do206.com/events/2023/10/31/rock-n-roll-bingo-in-screwdriver-bar-tickets
Big Kitty;Seamonster Lounge;2202 North 45th Street;98103;Seattle;WA;;2023-10-31;21:30;;;https://do206.com/events/2023/10/31/big-kitty-tickets
Dylvn;The Funhouse;109 Eastlake Ave E;98109;Seattle;WA;;2023-10-31;20:30;15.0;20.0;https://do206.com/events/2023/10/31/dylvn-tickets
Strangest Things: 80s Halloween Party Featuring: Dj Dance Dance w/ #All4doras (Boy Band Tribute);Madame Lou's;2505 1st Ave;98121;Seattle;WA;;2023-10-31;20:30;10.0;;https://do206.com/events/2023/10/31/strangest-things-80s-halloween-party-featuring-dj-dance-dance-w-all4doras-boy-band-tribute-tickets
Scary Movie! Watch Party;Supernova Seattle;110 S Horton Street;98134;Seattle;WA;;2023-10-31;20:00;;;https://do206.com/events/2023/10/31/scary-movie-tickets
Comedy Nest;The Rendezvous;2322 2nd Ave;98109;Seattle;WA;;2023-10-31;19:30;5.0;;https://do206.com/events/2023/10/31/comedy-nest-tickets
Country Dance Night with Country Dave & Cami Voss;Conor Byrne Pub;5140 Ballard Avenue NW # Main;98107;Seattle;WA;;2023-10-31;21:00;;;https://do206.com/events/2023/10/31/country-dance-night-with-country-dave-tickets
Halloween Rock-O-Taco W/ Twig Flicker;Tim's Tavern;9655 16TH AVE SW;98106;Seattle;WA;;2023-10-31;20:00;7.0;10.0;https://do206.com/events/2023/10/31/halloween-rock-o-taco-w-twig-flicker-tickets
Alec Shaw;Seamonster Lounge;2202 North 45th Street;98103;Seattle;WA;;2023-10-31;19:30;;;https://do206.com/events/2023/10/31/alec-shaw-tickets
Dia De Los Muertos;Emerald Queen Casino;2024 East 29th Street;98404;Tacoma;WA;;2023-10-31;19:00;;;https://do206.com/events/2023/10/31/dia-de-los-muertos-tickets
Sorry for Party Rocking (2010-2015 Pop & Edm) Halloween Edition!;Chop Suey;1325 East Madison;98122;Seattle;WA;;2023-10-31;21:00;0.0;45.0;https://do206.com/events/2023/10/31/sorry-for-party-rocking-2010-2015-pop-edm-halloween-edition-tickets
Midnight Danger • Wolftron • KZL (DJ Set);Central Saloon;207 First Ave S;98104;Seattle;WA;;2023-10-31;19:00;10.0;15.0;https://do206.com/events/2023/10/31/midnight-danger-wolftron-kzl-dj-set-tickets
Oxxxymiron;Showbox SoDo;1700 1st Avenue South;98134;Seattle;WA;;2023-10-31;20:00;94.0;;https://do206.com/events/2023/10/31/oxxxymiron-tickets
Oxxxymiron;The Showbox;1426 1st Avenue;98101;Seattle;WA;;2023-10-31;20:00;104.0;104.0;https://do206.com/events/2023/10/31/oxxxymiron-tickets-3eelxxm
Trap or Treat;Supernova Seattle;110 S Horton Street;98134;Seattle;WA;;2023-10-31;21:00;;;https://do206.com/events/2023/10/31/trap-or-treat-tickets
A Pagan Night of Dark Delights with music by Society of the Silver Cross, Leeni and special guests;The Rabbit Box;94 Pike St. Ste 11;98101;Seattle;WA;;2023-10-31;20:00;;;https://do206.com/events/2023/10/31/a-pagan-night-of-dark-delights-with-music-by-society-of-the-silver-cross-leeni-and-special-guests-tickets
Tacoma’s Halloween Party ($500 Costume Contest!);Spanish Ballroom;565 Broadway;98402;Tacoma;WA;;2023-10-31;19:00;10.0;15.0;https://do206.com/events/2023/10/31/tacoma-s-halloween-party-500-costume-contest-tickets
Open Mic!;Showboat;4358B Leary Way NW;98107;Seattle;WA;;2023-11-01;20:00;;;https://do206.com/events/2023/11/1/open-mic-tickets
Tim's Tavern Open Mic!;Tim's Tavern;9655 16TH AVE SW;98106;Seattle;WA;;2023-11-01;19:00;;;https://do206.com/events/2023/11/1/tim-s-tavern-open-mic-tickets
Weinstein Wednesday;Seamonster Lounge;2202 North 45th Street;98103;Seattle;WA;;2023-11-01;21:30;;;https://do206.com/events/2023/11/1/weinstein-wednesday-tickets
CPA Club Fee - Old Dominion;Climate Pledge Arena;334 1st Ave N;98109;Seattlee;WA;;2023-11-01;19:00;10.0;25.0;https://do206.com/events/2023/11/1/cpa-club-fee-old-dominion-tickets
Get Happy! with DJ Maxwell Edison (Screwdriver Bar);Screwdriver Bar;2320 1st Ave;;Seattle;WA;;2023-11-01;17:00;;;https://do206.com/events/2023/11/1/get-happy-with-dj-maxwell-edison-screwdriver-bar-tickets
