event_title;venue_title;address;zip_code;city;state;phone_number;date;time;lowest_price;highest_price;source_url
Art School Dropouts with DJs Erica Dear and Kittyslickr;Pony;1221 E Madison St;98122.0;Seattle;WA;;2023-11-01;21:00;0.0;0.0;https://everout.com/seattle/events/art-school-dropouts-with-djs-erica-dear-and-kittyslickr/e148204/
Karaoke Wednesdays with DJ Forrest Gump;Little Red Hen;7115 Woodlawn Ave NE;98115.0;Seattle;WA;;2023-11-01;21:00;0.0;;https://everout.com/seattle/events/karaoke-wednesdays-with-dj-forrest-gump/e26616/
Good Karaoke at Bad Bar;Bad Bar;819 5TH AVE N;98109.0;Seattle;WA;;2023-11-01;21:00;0.0;0.0;https://everout.com/seattle/events/good-karaoke-at-bad-bar/e112700/
Freakout & Tractor Present: Frankie & The Witch Fingers;Tractor Tavern;5213 Ballard Ave NW;98107.0;Seattle;WA;;2023-11-01;20:30;0.0;;https://everout.com/seattle/events/freakout-tractor-present-frankie-the-witch-fingers/e160468/
High Pulp;Clock-Out Lounge;4864 Beacon Ave S;98108.0;Seattle;WA;;2023-11-01;20:30;12.0;30.0;https://everout.com/seattle/events/high-pulp/e160027/
Living With A Bear, Middle Finger Drive, Easy A's;Central Saloon;207 First Ave S #1;98104.0;Seattle;WA;;2023-11-01;20:00;8.0;10.0;https://everout.com/seattle/events/living-with-a-bear-middle-finger-drive-easy-as/e160813/
Karaoke Night;Kate's Pub;309 NE 45th St;98105.0;Seattle;WA;;2023-11-01;20:00;0.0;;https://everout.com/seattle/events/karaoke-night/e102563/
Neil Frances;Neptune Theatre;1303 NE 45th St;98105.0;Seattle;WA;;2023-11-01;20:00;25.0;;https://everout.com/seattle/events/neil-frances/e148415/
Karaoke at the 4Bs;4Bs Tavern;4300 Leary Way NW;98107.0;Seattle;WA;;2023-10-30;20:00;0.0;0.0;https://everout.com/seattle/events/karaoke-at-the-4bs/e144604/
Karaoke at the 4Bs;4Bs Tavern;4300 Leary Way NW;98107.0;Seattle;WA;;2023-11-01;20:00;0.0;0.0;https://everout.com/seattle/events/karaoke-at-the-4bs/e144604/
Open Mic at Showboat Ballard;Showboat;4358 Leary Way NW B;98107.0;Seattle;WA;;2023-11-01;20:00;0.0;0.0;https://everout.com/seattle/events/open-mic-at-showboat-ballard/e157411/
Irish Music Session;Shawn O'Donnell's American Grill & Irish Pub;3601 Fremont Ave N;98103.0;Seattle;WA;;2023-11-01;19:30;0.0;;https://everout.com/seattle/events/irish-music-session/e102188/
Grace Love;Jazz Alley;2033 Sixth Ave;98121.0;Seattle;WA;;2023-10-31;19:30;27.5;;https://everout.com/seattle/events/grace-love/e158314/
Grace Love;Jazz Alley;2033 Sixth Ave;98121.0;Seattle;WA;;2023-11-01;19:30;27.5;;https://everout.com/seattle/events/grace-love/e158314/
