event_title;venue_title;address;zip_code;city;state;phone_number;date;time;lowest_price;highest_price;source_url
Voctave;Federal Way Performing Arts Event Center Theater;31510 Pete von Reichbauer Way South;98003;Federal Way;WA;;2024-02-25;19:30;132;166;https://seatgeek.com/voctave-tickets/federal-way-washington-federal-way-performing-arts-event-center-theater-2-2024-02-25-7-30-pm/concert/6232404
Helado Negro;Neptune Theatre - WA;1303 Northeast 45th Street;98105;Seattle;WA;;2024-02-25;20:00;42;469;https://seatgeek.com/helado-negro-tickets/seattle-washington-neptune-theatre-wa-2024-02-25-8-pm/concert/6238959
Waterparks;Showbox SoDo;1700 1st Avenue South;98134;Seattle;WA;;2024-02-26;19:00;70;451;https://seatgeek.com/waterparks-tickets/seattle-washington-showbox-sodo-2024-02-26-7-pm/concert/6234104
Beartooth with The Plot in You, Invent Animate, and Sleep Theory;Showbox SoDo;1700 1st Avenue South;98134;Seattle;WA;;2024-02-27;18:30;64;1304;https://seatgeek.com/beartooth-tickets/seattle-washington-showbox-sodo-2024-02-27-6-30-pm/concert/6238007
Playboi Carti (Rescheduled from 9/12/23);Climate Pledge Arena;401 1st Ave.;98109;Seattle;WA;;2024-02-28;19:30;86;1574;https://seatgeek.com/playboi-carti-tickets/seattle-washington-climate-pledge-arena-3-2024-02-28-7-30-pm/concert/6087499
Grouplove;Showbox SoDo;1700 1st Avenue South;98134;Seattle;WA;;2024-02-28;20:00;81;1096;https://seatgeek.com/grouplove-tickets/seattle-washington-showbox-sodo-2024-02-28-8-pm/concert/6239789
Fall Out Boy with Jimmy Eat World;Climate Pledge Arena;401 1st Ave.;98109;Seattle;WA;;2024-03-01;18:30;97;5925;https://seatgeek.com/fall-out-boy-tickets/seattle-washington-climate-pledge-arena-3-2024-03-01-6-30-pm/concert/6168866
Black Tiger Sex Machine with Kai Wachi;WaMu Theater;800 Occidental Avenue South;98134;Seattle;WA;;2024-03-01;19:00;78;339;https://seatgeek.com/black-tiger-sex-machine-tickets/seattle-washington-wamu-theater-2024-03-01-7-pm/concert/6212259
Skid Row with Buckcherry (18+);Suquamish Clearwater Casino Resort Event Lawn;15347 Suquamish Way NE;98392;Suquamish;WA;;2024-03-01;19:30;108;488;https://seatgeek.com/skid-row-tickets/suquamish-washington-suquamish-clearwater-casino-resort-event-lawn-2024-03-01-7-30-pm/concert/6181121
Tommy Emmanuel with Rob Ickes;Moore Theatre;1932 2nd Avenue;98101;Seattle;WA;;2024-03-01;19:30;59;726;https://seatgeek.com/tommy-emmanuel-tickets/seattle-washington-moore-theatre-2024-03-01-7-30-pm/concert/6145996
Gary Numan (21+);Showbox SoDo;1700 1st Avenue South;98134;Seattle;WA;;2024-03-02;19:00;103;1096;https://seatgeek.com/gary-numan-tickets/seattle-washington-showbox-sodo-2024-03-02-7-pm/concert/6212223
Black Tiger Skull Machine with Black Tiger Sex Machine;WaMu Theater;800 Occidental Avenue South;98134;Seattle;WA;;2024-03-02;19:00;78;352;https://seatgeek.com/black-tiger-skull-machine-tickets/seattle-washington-wamu-theater-2024-03-02-7-pm/concert/6212258
Destroyer (Solo) (21+);Tractor Tavern;5213 Ballard Ave NW;98107;Seattle;WA;;2024-03-05;20:00;87;87;https://seatgeek.com/destroyer-tickets/seattle-washington-tractor-tavern-2024-03-05-8-pm/concert/6240756
Raffaella;Madame Lou's;2505 1st Ave;98121;Seattle;WA;;2024-03-07;20:30;51;158;https://seatgeek.com/raffaella-tickets/seattle-washington-madame-lou-s-2024-03-07-8-30-pm/concert/6225173
Code Orange Kids with Teenage Wrist and Soul Blind;El Corazon;109 Eastlake Ave E;98109;Seattle;WA;;2024-03-08;19:30;100;451;https://seatgeek.com/code-orange-kids-tickets/seattle-washington-el-corazon-2024-03-08-7-30-pm/concert/6237981
Arlo Parks;Showbox SoDo;1700 1st Avenue South;98134;Seattle;WA;;2024-03-08;20:00;65;521;https://seatgeek.com/arlo-parks-tickets/seattle-washington-showbox-sodo-2024-03-08-8-pm/concert/6203076
The Fab Four - The Ultimate Beatles Tribute;Moore Theatre;1932 2nd Avenue;98101;Seattle;WA;;2024-03-09;19:30;82;922;https://seatgeek.com/the-fab-four-the-ultimate-tribute-tickets/seattle-washington-moore-theatre-2024-03-09-7-30-pm/concert/5972245
Bad Bunny;Climate Pledge Arena;401 1st Ave.;98109;Seattle;WA;;2024-03-09;19:30;267;8180;https://seatgeek.com/bad-bunny-tickets/seattle-washington-climate-pledge-arena-3-2024-03-09-7-30-pm/concert/6240220
The Paper Kites;Neptune Theatre - WA;1303 Northeast 45th Street;98105;Seattle;WA;;2024-03-09;20:00;60;557;https://seatgeek.com/the-paper-kites-tickets/seattle-washington-neptune-theatre-wa-2024-03-09-8-pm/concert/6165087
Crosses;Moore Theatre;1932 2nd Avenue;98101;Seattle;WA;;2024-03-11;20:00;66;484;https://seatgeek.com/crosses-tickets/seattle-washington-moore-theatre-2024-03-11-8-pm/concert/6234209
LANY;Paramount Theatre - WA;911 Pine Street;98101;Seattle;WA;;2024-03-12;20:00;76;1096;https://seatgeek.com/lany-tickets/seattle-washington-paramount-theatre-wa-2024-03-12-8-pm/concert/6213433
LANY;Paramount Theatre - WA;911 Pine Street;98101;Seattle;WA;;2024-03-13;20:00;97;693;https://seatgeek.com/lany-tickets/seattle-washington-paramount-theatre-wa-2024-03-13-8-pm/concert/6233625
Time For Three;Federal Way Performing Arts Event Center Theater;31510 Pete von Reichbauer Way South;98003;Federal Way;WA;;2024-03-14;19:30;86;166;https://seatgeek.com/time-for-three-tickets/federal-way-washington-federal-way-performing-arts-event-center-theater-2-2024-03-14-7-30-pm/concert/6232409
Chelsea Cutler;Showbox SoDo;1700 1st Avenue South;98134;Seattle;WA;;2024-03-14;20:00;63;479;https://seatgeek.com/chelsea-cutler-tickets/seattle-washington-showbox-sodo-2024-03-14-8-pm/concert/6240728
Blake Shelton;Tacoma Dome;2727 East D Street;98421;Tacoma;WA;;2024-03-15;19:00;88;7050;https://seatgeek.com/blake-shelton-tickets/tacoma-washington-tacoma-dome-2024-03-15-7-pm/concert/6239697
Tiffany;Kirkland Performance Center;350 Kirkland Avenue;98033;Kirkland;WA;;2024-03-15;19:00;172;287;https://seatgeek.com/tiffany-tickets/kirkland-washington-kirkland-performance-center-2024-03-15-7-pm/concert/6226038
Glenn Miller Orchestra;Benaroya Hall;200 University Street;98101;Seattle;WA;;2024-03-15;20:00;81;189;https://seatgeek.com/glenn-miller-orchestra-tickets/seattle-washington-benaroya-hall-2024-03-15-8-pm/concert/6231383
Ricky Montgomery;The Showbox;1426 1st Ave;98101;Seattle;WA;;2024-03-16;19:30;77;1163;https://seatgeek.com/ricky-montgomery-tickets/seattle-washington-the-showbox-2024-03-16-7-30-pm/concert/6208228
Warren Zeiders;Showbox SoDo;1700 1st Avenue South;98134;Seattle;WA;;2024-03-16;20:00;75;1119;https://seatgeek.com/warren-zeiders-tickets/seattle-washington-showbox-sodo-2024-03-16-8-pm/concert/6250625
Big Something with The Ries Brothers (21+);Tractor Tavern;5213 Ballard Ave NW;98107;Seattle;WA;;2024-03-16;21:00;52;52;https://seatgeek.com/big-something-tickets/seattle-washington-tractor-tavern-2024-03-16-9-pm/concert/6168269
Umphrey's McGee (21+);The Showbox;1426 1st Ave;98101;Seattle;WA;;2024-03-17;20:00;76;451;https://seatgeek.com/umphrey-s-mcgee-tickets/seattle-washington-the-showbox-2024-03-17-8-pm/concert/6238653
