event_title;venue_title;address;zip_code;city;state;phone_number;date;time;lowest_price;highest_price;source_url
K+Lab and Marvel Years;High Dive;513 N 36th St;98103;Seattle;WA;;2023-11-01;20:00;20.0;25.0;https://www.songkick.com/concerts/41399213-klab-at-high-dive
Rocky Votolato;The Crocodile;2505 First Ave.;98121;Seattle;WA;(206) 420-6351;2023-11-01;19:00;25.0;;https://www.songkick.com/concerts/41431515-rocky-votolato-at-crocodile
Des Rocs;The Funhouse;109 Eastlake Ave. East;98109;Seattle;WA;(206) 262-0482;2023-11-01;20:00;25.0;27.5;https://www.songkick.com/concerts/41413416-des-rocs-at-funhouse
Frankie & The Witch Fingers;Tractor Tavern;5213 Ballard Avenue N.w.;98107;Seattle;WA;(206) 789-3599;2023-11-01;20:30;;;https://www.songkick.com/concerts/41215145-frankie-and-the-witch-fingers-at-tractor-tavern
Patty Griffin;Mount Baker Theatre;104 North Commercial;98225;Bellingham;WA;;2023-11-01;19:30;;;https://www.songkick.com/concerts/41406293-patty-griffin-at-mount-baker-theatre
serpentwithfeet;Moore Theatre;1932 Second Ave.;98101;Seattle;WA;;2023-11-01;19:30;22.5;32.5;https://www.songkick.com/concerts/41225112-serpentwithfeet-at-moore-theatre
Citizen;Neumos;925 East Pike Street;98122;Seattle;WA;(206) 709-9442;2023-11-01;19:00;;;https://www.songkick.com/concerts/41295114-citizen-at-neumos
Neil Frances;Neptune Theatre;1303 NE 45th St.;98105;Seattle;WA;206-682-1414;2023-11-01;20:00;25.0;;https://www.songkick.com/concerts/41191099-neil-frances-at-neptune-theatre
Old Dominion, Kip Moore, and Kylie Morgan;Climate Pledge Arena;305 Harrison St.;98109;Seattle;WA;(206) 684-7200;2023-11-01;19:30;34.5;166.5;https://www.songkick.com/concerts/41103272-old-dominion-at-climate-pledge-arena
Barrett Martin;Here - After;;98121;Seattle;WA;;2023-10-31;19:00;20.0;;https://www.songkick.com/concerts/41500798-barrett-martin-at-here-after
