event_title;venue_title;address;zip_code;city;state;phone_number;date;time;lowest_price;highest_price;source_url
BARRETT MARTIN - “Singing Earth” Tour;Here - After;2505 1st Ave;98121;Seattle;Washington;;2023-10-31;19:00;20.0;;https://www.ticketweb.com/event/barrett-martin-singing-here-after-tickets/13644998
Sheku Kanneh-Mason;Benaroya Hall;200 University St.;98101;Seattle;Washington;;2023-10-31;19:30;;;https://www.ticketmaster.com/event/Z7r9jZ1A7ZeZk?tmrid=TMR-4002006&routing=y
Deer Tick, Abby Hamilton;The Crocodile;2505 1st Ave;98121;Seattle;Washington;;2023-10-31;20:00;30.0;;https://www.ticketweb.com/event/deer-tick-abby-hamilton-the-crocodile-tickets/13163438
Jacquees + Nick Lavelle;Neptune Theatre;1303 NE 45th Street;98105;Seattle;Washington;;2023-10-31;20:00;25.0;;https://www.ticketmaster.com/jacquees-nick-lavelle/event/0F005F19D84B639F
Sorcha Richardson, PAPA;The Fremont Abbey;4272 Fremont Ave N;98103;Seattle;Washington;;2023-10-31;20:00;21.0;;https://www.ticketweb.com/event/sorcha-richardson-papa-the-fremont-abbey-tickets/13365258
Cumbia de Muertos w/ TerrorCactus, Lobo Lara, Albina Cabrera, Rizoma, Exesive, Desmadrina Soundsystem, and Cumbia Libre;Tractor;5213 Ballard Avenue NW;98107;Seattle;Washington;;2023-10-31;20:00;15.0;;https://www.ticketweb.com/event/cumbia-de-muertos-w-terrorcactus-tractor-tickets/13618988
The Black Jacket Symphony Presents Eagles' 'Hotel California';Federal Way PAEC;31510 Pete von Reichbauer Way S, Federal Way 98003;98003;Federal Way;Washington;;2023-10-31;20:00;;;https://www.ticketmaster.com/event/Z7r9jZ1AdOF7Y?tmrid=TMR-3808130&routing=y
DYLVN: Tell Them Stories Tour;The Funhouse;109 Eastlake Ave E;98109;Seattle;Washington;;2023-10-31;20:30;15.0;;https://www.ticketweb.com/event/dylvn-tell-them-stories-tour-the-funhouse-tickets/13570398
Strangest Things: 80s Halloween Party Featuring: DJ Dance Dance w/ #All4Doras (Boy Band Tribute);Madame Lou's;2505 1st Ave;98121;Seattle;Washington;;2023-10-31;20:30;10.0;;https://www.ticketweb.com/event/strangest-things-80s-halloween-party-madame-lous-tickets/13318338
Sorry For Party Rocking (2010-2015 Pop & EDM) Halloween Edition!;Chop Suey;1325 E Madison St.;98122;Seattle;Washington;;2023-10-31;21:00;0.0;;https://www.ticketweb.com/event/sorry-for-party-rocking-2010-chop-suey-tickets/13535008
Citizen;Neumos;925 East Pike Street;98122;Seattle;Washington;;2023-11-01;18:30;;;https://www.ticketmaster.com/event/Z7r9jZ1AdP-aV?tmrid=TMR-3961274&routing=y
M.O.S.S., Dining Dead, The Nags, diirt;Chop Suey;1325 E Madison St.;98122;Seattle;Washington;;2023-11-01;19:00;15.0;;https://www.ticketweb.com/event/moss-dining-dead-the-nags-chop-suey-tickets/13734148
Rocky Votolato, Sea Salt, Crushing;The Crocodile;2505 1st Ave;98121;Seattle;Washington;;2023-11-01;19:00;25.0;;https://www.ticketweb.com/event/rocky-votolato-sea-salt-crushing-the-crocodile-tickets/13659788
KILL ROCK STARS + friends tour w/ Logan Lynn X Yellow Trash Can, Bitch, Caleb Nichols, Chateau Chateau, Shaylee, Katie Cash;Madame Lou's;2505 1st Ave;98121;Seattle;Washington;;2023-11-01;19:30;25.0;;https://www.ticketweb.com/event/kill-rock-stars-friends-madame-lous-tickets/13439238
Old Dominion: No Bad Vibes Tour;Climate Pledge Arena;334 1st Ave N;98109;Seattle;Washington;;2023-11-01;19:30;34.5;;https://www.ticketmaster.com/old-dominion-no-bad-vibes-tour/event/0F005E77EDFD4953
"serpentwithfeet - ""Heart of Brick""";Moore Theatre;1932 2nd Ave;98101;Seattle;Washington;;2023-11-01;19:30;22.5;;https://www.ticketmaster.com/serpentwithfeet-heart-of-brick/event/0F005E8CFBAA3ECF
Neil Frances;Neptune Theatre;1303 NE 45th Street;98105;Seattle;Washington;;2023-11-01;20:00;25.0;;https://www.ticketmaster.com/neil-frances/event/0F005EC1F6D15D13
Henry Rollins;Federal Way PAEC;31510 Pete von Reichbauer Way S, Federal Way 98003;98003;Federal Way;Washington;;2023-11-01;20:00;;;https://www.ticketmaster.com/event/Z7r9jZ1Ad0UZA?tmrid=TMR-3936005&routing=y
Earshot Jazz Festival Presents: High Pulp;Clock-Out Lounge;4864 Beacon Ave S;98108;Seattle;Washington;;2023-11-01;20:30;12.0;;https://www.ticketweb.com/event/earshot-jazz-festival-presents-high-clock-out-lounge-tickets/13479588
SOLD OUT!!  Freakout & Tractor Present: Frankie & The Witch Fingers w/ Monsterwatch;Tractor;5213 Ballard Avenue NW;98107;Seattle;Washington;;2023-11-01;20:30;0.0;;https://www.ticketweb.com/event/sold-out-freakout-tractor-tickets/13283608
