event_title;venue_title;address;zip_code;city;state;phone_number;date;time;lowest_price;highest_price;source_url
Giant Rooks;The Crocodile;2200 2nd Avenue;98121;Seattle;WA;;2024-04-26;18:00;54;236;https://seatgeek.com/giant-rooks-tickets/seattle-washington-the-crocodile-2-2024-04-26-6-pm/concert/6219900
Zakir Hussain;Moore Theatre;1932 2nd Avenue;98101;Seattle;WA;;2024-04-26;20:00;66;410;https://seatgeek.com/zakir-hussain-tickets/seattle-washington-moore-theatre-2024-04-26-8-pm/concert/6063458
Cody Johnson;Tacoma Dome;2727 East D Street;98421;Tacoma;WA;;2024-04-27;19:30;99;2622;https://seatgeek.com/cody-johnson-tickets/tacoma-washington-tacoma-dome-2024-04-27-7-30-pm/concert/6248611
Tito Puente Jr.;Admiral Theatre;515 Pacific Avenue;98337;Bremerton;WA;;2024-05-03;20:00;54;150;https://seatgeek.com/tito-puente-jr-tickets/bremerton-washington-admiral-theatre-2024-05-03-8-pm/concert/6221264
Drew Holcomb & The Neighbors with Donovan Woods;Neptune Theatre - WA;1303 Northeast 45th Street;98105;Seattle;WA;;2024-05-07;20:00;48;544;https://seatgeek.com/drew-holcomb-the-neighbors-tickets/seattle-washington-neptune-theatre-wa-2024-05-07-8-pm/concert/6159718
Petey;The Showbox;1426 1st Ave;98101;Seattle;WA;;2024-05-07;20:30;56;451;https://seatgeek.com/petey-1-tickets/seattle-washington-the-showbox-2024-05-07-8-30-pm/concert/6255048
NEEDTOBREATHE with Judah & The Lion;White River Amphitheatre;40601 Auburn Enumclaw Rd.;98092;Auburn;WA;;2024-05-11;19:30;60;1188;https://seatgeek.com/needtobreathe-tickets/auburn-washington-white-river-amphitheatre-2024-05-11-7-30-pm/concert/6184190
Seattle Rock Orchestra;Moore Theatre;1932 2nd Avenue;98101;Seattle;WA;;2024-05-12;14:00;66;150;https://seatgeek.com/seattle-rock-orchestra-tickets/seattle-washington-moore-theatre-2024-05-12-2-pm/concert/6063446
Celtic Woman;Paramount Theatre - WA;911 Pine Street;98101;Seattle;WA;;2024-05-15;19:00;85;315;https://seatgeek.com/celtic-woman-tickets/seattle-washington-paramount-theatre-wa-2024-05-15-7-pm/concert/6202978
Riley Green with Tracy Lawrence and Ella Langley;Angel of the Winds Arena;2000 Hewitt Ave;98201;Everett;WA;;2024-05-17;19:30;482;500;https://seatgeek.com/riley-green-tickets/everett-washington-angel-of-the-winds-arena-2024-05-17-7-30-pm/concert/6171964
Wednesday with Draag;Neptune Theatre - WA;1303 Northeast 45th Street;98105;Seattle;WA;;2024-05-21;20:00;53;109;https://seatgeek.com/wednesday-1-tickets/seattle-washington-neptune-theatre-wa-2024-05-21-8-pm/concert/6225229
Two Door Cinema Club with Day Wave (Relocated from The Neptune Theatre);Paramount Theatre - WA;911 Pine Street;98101;Seattle;WA;;2024-05-22;19:00;69;11604;https://seatgeek.com/two-door-cinema-club-tickets/seattle-washington-paramount-theatre-wa-2024-05-22-7-pm/concert/6202638
